target,model,fold,RMSE,MAE,sMAPE(%),MdAPE(%),MASE,logical_target
profit,ridge,2,8862321704.212265,4441620389.964434,129.21007171052216,157.5219589671615,5.937378143364789,profit
profit,lasso,2,9044453846.918093,4563486204.696917,133.72527091716293,191.41783234152163,6.100283425961842,profit
profit,rf,2,8605189547.834776,3921240576.605116,116.43830066170857,99.34382438784299,5.241755496938537,profit
profit,naive,3,12289299051.35183,6956987824.551623,152.08070779527628,99.82537811132745,9.711353363858256,profit
profit,snaive,3,12289299051.35183,6956987824.551623,152.08070779527628,99.82537811132745,9.711353363858256,profit
profit,ridge,3,9083074168.600698,4552150189.298349,124.80528639549453,125.375665346404,6.354407995026165,profit
profit,lasso,3,9184948183.215096,4783798367.090053,130.75342876014858,177.82711276794058,6.677768818325303,profit
profit,rf,3,8634452604.31273,3966659172.665547,110.47244952356449,99.1958234223912,5.537113168978052,profit
profit,naive,4,11659828226.21145,6236548952.4025135,146.07614954426126,99.9159621972339,7.651623295112098,profit
profit,snaive,4,11659828226.21145,6236548952.4025135,146.07614954426126,99.9159621972339,7.651623295112098,profit
profit,ridge,4,7807291240.852856,4081217065.4137444,125.13570699806368,181.74050353454496,5.0072461241723865,profit
profit,lasso,4,7912539011.359155,4317649489.418846,130.9746568866911,208.90907070177863,5.297325117706196,profit
profit,rf,4,7542693122.844441,3415596937.333453,110.47896410216013,98.99219739051082,4.190596641167423,profit
profit,naive,5,11137743853.20174,6430049776.091165,161.2949241208648,100.00073294568934,8.157361750275243,profit
profit,snaive,5,11137743853.20174,6430049776.091165,161.2949241208648,100.00073294568934,8.157361750275243,profit
profit,ridge,5,7587270914.542195,4048823070.827132,130.88961471104625,342.0332957738206,5.1364632626024225,profit
profit,lasso,5,7679693901.894308,4223322626.75738,136.12266221469508,323.62532343854,5.357838843282723,profit
profit,rf,5,7796504683.656762,3832976673.3756227,119.44344602511939,143.33051789888475,4.862633788831847,profit
profit,naive,6,11204214345.522055,6544100250.68974,159.2623082248429,100.1248202598543,8.397872002115246,profit
profit,snaive,6,11204214345.522055,6544100250.68974,159.2623082248429,100.1248202598543,8.397872002115246,profit
profit,ridge,6,7410333233.889875,4136374556.8945236,136.50566500063064,404.3336616936026,5.308100846704658,profit
profit,lasso,6,7517429486.782192,4244282070.9491405,139.7006423068254,320.51419075971904,5.446575725814527,profit
profit,rf,6,7798437739.2972,4040747188.9153953,126.77914812790314,201.01061492714555,5.1853847565739715,profit
profit,naive,7,10793096782.91984,6368662332.596112,157.1386683280489,100.01749500298267,8.476004452198143,profit
profit,snaive,7,10793096782.91984,6368662332.596112,157.1386683280489,100.01749500298267,8.476004452198143,profit
profit,ridge,7,7373858425.460224,4268397120.6253614,138.59097735335052,432.08947825045544,5.680777392294617,profit
profit,lasso,7,7559465392.6146145,4402531321.660323,141.14364827886106,370.95195602314493,5.859295584308877,profit
profit,rf,7,7786226435.38433,4179351272.7064886,126.71883045219406,235.76393108041395,5.562266947872537,profit
